team,conference,location,hex
New York Giants,NFC,"40 48m 48.9996s N, 74 4m 27.9984s W",#000000
New York Jets,AFC,"40 48m 48.9996s N, 74 4m 27.9984s W",#000000
Green Bay Packers,NFC,"44 30m 5.0004s N, 88 3m 43.9992s W",#00ff00
Dallas Cowboys,NFC,"32 44m 52.0008s N, 97 5m 34.0008s W",#000000
Washington Redskins,NFC,"38 54m 28.0008s N, 76 51m 51.9984s W",#ff0000
Kansas City Chiefs,AFC,"39 2m 56.0004s N, 94 29m 2.0004s W",#000000
Denver Broncos,AFC,"39 44m 38.0004s N, 105 1m 12s W",#000000
Miami Dolphins,AFC,"25 57m 29.0016s N, 80 14m 20.0004s W",#000000
Carolia Panthers,NFC,"35 13m 32.9988s N, 80 51m 10.0008s W",#000000
New Orleans Saints,NFC,"29 57m 2.9988s N, 90 4m 51.9996s W",#000000
Cleveland Browns,AFC,"41 30m 21.9996s N, 81 41m 57.9984s W",#000000
Buffalo Bills,AFC,"42 46m 24.9996s N, 78 47m 12.9984s W",#000000
Tennessee Titans,AFC,"36 9m 59.0004s N, 86 46m 17.0004s W",#000000
New England Patriots,AFC,"42 5m 27.3984s N, 71 15m 48.384s W",#000000
Philadelphia Eagles,NFC,"39 54m 2.9988s N, 75 10m 3s W",#000000
San Francisco 49ers,NFC,"37 24m 10.8s N, 121 58m 12s W",#000000
Jacksonville Jaguars,AFC,"30 19m 26.0004s N, 81 38m 15s W",#000000
Seattle Seahawks,NFC,"47 35m 43.0008s N, 122 19m 54.0012s W",#000000
Tampa Bay Buccaneers,NFC,"27 58m 32.9988s N, 82 30m 11.9988s W",#000000
Cincinnati Bengals,AFC,"39 5m 43.5984s N, 84 30m 57.7404s W",#000000
Pittsburgh Steelers,AFC,"40 26m 48.0012s N, 80 0m 56.9988s W",#000000
Detroit Lions,NFC,"42 20m 24s N, 83 2m 44.0016s W",#000000
Arizona Cardinals,NFC,"33 31m 39s N, 112 15m 45s W",#000000
Indianapolis Colts,AFC,"39 45m 36.2016s N, 86 9m 49.7016s W",#000000
Oakland Raiders,AFC,"37 45m 6.0012s N, 122 12m 2.0016s W",#000000
Atlanta Falcons,NFC,"33 45m 18.6238s N, 84 24m 3.31512s W",#000000
Houston Texans,AFC,"29 41m 5.58141s N, 95 24m 39.3777s W",#000000
Baltimore Ravens,AFC,"39 16m 41.2023s N, 76 37m 21.8255s W",#000000
Los Angeles Chargers,AFC,"33 51m 51.688s N, 118 15m 40.0589s W",#000000
Los Angeles Rams,NFC,"34 0m 50.5631s N, 118 17m 16.8502s W",#000000
Chicago Bears,NFC,"41 51m 44.3017s N, 87 37m 0.261383s W",#000000
Minnesota Vikings,NFC,"44 58m 24.6973s N, 93 15m 27.1156s W",#000000
